noteId,Topic,Topic_Keywords
1740289200556028258,5,5_covid_impfung_corona_studie
1740290287967052001,5,5_covid_impfung_corona_studie
1740291228548088136,5,5_covid_impfung_corona_studie
1741520564156588240,-1,-1_amp_deutschland_afd_handeln
1741521109701234710,-1,-1_amp_deutschland_afd_handeln
1741729001796727131,-1,-1_amp_deutschland_afd_handeln
1742201298483638399,-1,-1_amp_deutschland_afd_handeln
1742201787191316667,-1,-1_amp_deutschland_afd_handeln
1742204489761714190,-1,-1_amp_deutschland_afd_handeln
1742539594636107887,-1,-1_amp_deutschland_afd_handeln
1748736733586358467,8,8_foto_bild_fake_bergamo
1751700425814761958,3,3_video_zeigen_sehen_videos
1751700862584394219,3,3_video_zeigen_sehen_videos
1752072481630826582,-1,-1_amp_deutschland_afd_handeln
1752072716977410281,-1,-1_amp_deutschland_afd_handeln
1752072853510389983,-1,-1_amp_deutschland_afd_handeln
1752073119349514297,-1,-1_amp_deutschland_afd_handeln
1759141900395708544,9,9_frau_khelif_biologisch_gender
1759142965941813614,9,9_frau_khelif_biologisch_gender
1759143549851897956,9,9_frau_khelif_biologisch_gender
1759227280042201298,-1,-1_amp_deutschland_afd_handeln
1759271837173764247,6,6_internet_art_stgb_grundgesetz
1759633614499618939,0,0_post_kommentar_anmerkung_meinung
1762578716813590890,-1,-1_amp_deutschland_afd_handeln
1762579352179343669,-1,-1_amp_deutschland_afd_handeln
1766012644031341024,-1,-1_amp_deutschland_afd_handeln
1767706395644698775,-1,-1_amp_deutschland_afd_handeln
1770391917953524096,5,5_covid_impfung_corona_studie
1772263476771045613,0,0_post_kommentar_anmerkung_meinung
1772681577069252711,-1,-1_amp_deutschland_afd_handeln
1773774610179194946,-1,-1_amp_deutschland_afd_handeln
1773774892829159636,-1,-1_amp_deutschland_afd_handeln
1773775423958073426,-1,-1_amp_deutschland_afd_handeln
1775902118907347320,-1,-1_amp_deutschland_afd_handeln
1779405354549285305,5,5_covid_impfung_corona_studie
1783427430864023989,2,2_russland_ukraine_ukrain_russisch
1783545516715864324,10,10_satire_account_offensichtlich_handeln
1783730990088589745,1,1_israel_hamas_gaza_israelisch
1783762187284033930,-1,-1_amp_deutschland_afd_handeln
1796928731937665053,-1,-1_amp_deutschland_afd_handeln
1797699438296580221,-1,-1_amp_deutschland_afd_handeln
1802031591906050387,-1,-1_amp_deutschland_afd_handeln
1803438346351641046,-1,-1_amp_deutschland_afd_handeln
1803438663260373281,1,1_israel_hamas_gaza_israelisch
1803439005704323290,-1,-1_amp_deutschland_afd_handeln
1803439481267085475,1,1_israel_hamas_gaza_israelisch
1803439735404179687,1,1_israel_hamas_gaza_israelisch
1806588886358839299,-1,-1_amp_deutschland_afd_handeln
1806589426987839688,0,0_post_kommentar_anmerkung_meinung
1809335606587109514,2,2_russland_ukraine_ukrain_russisch
1809336648473219073,2,2_russland_ukraine_ukrain_russisch
1810030593494643002,-1,-1_amp_deutschland_afd_handeln
1810585273106850105,15,15_climate_temperaturen_global_change
1811121010692764058,8,8_foto_bild_fake_bergamo
1812832338369274166,-1,-1_amp_deutschland_afd_handeln
1815003153839878610,-1,-1_amp_deutschland_afd_handeln
1815004472302502203,5,5_covid_impfung_corona_studie
1816186196181279246,-1,-1_amp_deutschland_afd_handeln
1816669580955095358,-1,-1_amp_deutschland_afd_handeln
1816670053997167092,-1,-1_amp_deutschland_afd_handeln
1816670364346515735,-1,-1_amp_deutschland_afd_handeln
1816670538774761887,-1,-1_amp_deutschland_afd_handeln
1821120544986591585,0,0_post_kommentar_anmerkung_meinung
1828801427654824111,13,13_land_landtag_afd_geschaeftsordnung
1833206346226757937,2,2_russland_ukraine_ukrain_russisch
1834923269327061231,1,1_israel_hamas_gaza_israelisch
1835385266573283349,-1,-1_amp_deutschland_afd_handeln
1835627528523813367,-1,-1_amp_deutschland_afd_handeln
1835948070682378393,-1,-1_amp_deutschland_afd_handeln
1837634411073777822,-1,-1_amp_deutschland_afd_handeln
1837634989199897011,-1,-1_amp_deutschland_afd_handeln
1837636342781825138,-1,-1_amp_deutschland_afd_handeln
1837637631502630974,-1,-1_amp_deutschland_afd_handeln
1839661902177186027,-1,-1_amp_deutschland_afd_handeln
1839753263157260364,5,5_covid_impfung_corona_studie
1840031229128610170,5,5_covid_impfung_corona_studie
1840268708339425368,-1,-1_amp_deutschland_afd_handeln
1843209027179745480,10,10_satire_account_offensichtlich_handeln
1845255087603515799,-1,-1_amp_deutschland_afd_handeln
1851637405440180615,-1,-1_amp_deutschland_afd_handeln
1851638835861479517,-1,-1_amp_deutschland_afd_handeln
1858482356031562223,-1,-1_amp_deutschland_afd_handeln
1867606801224528085,-1,-1_amp_deutschland_afd_handeln
1867607138492711058,-1,-1_amp_deutschland_afd_handeln
1884520117767221265,-1,-1_amp_deutschland_afd_handeln
1884520254224884168,-1,-1_amp_deutschland_afd_handeln
1884520396294111483,-1,-1_amp_deutschland_afd_handeln
1779267153524412627,1,1_israel_hamas_gaza_israelisch
1743469719460434316,-1,-1_amp_deutschland_afd_handeln
1745978182715502598,6,6_internet_art_stgb_grundgesetz
1745993919765057782,-1,-1_amp_deutschland_afd_handeln
1746536793028112843,6,6_internet_art_stgb_grundgesetz
1746545707211694518,-1,-1_amp_deutschland_afd_handeln
1746723539703501184,-1,-1_amp_deutschland_afd_handeln
1747030690338669030,-1,-1_amp_deutschland_afd_handeln
1747032982760616239,0,0_post_kommentar_anmerkung_meinung
1747439277330301273,6,6_internet_art_stgb_grundgesetz
1747776740338925848,1,1_israel_hamas_gaza_israelisch
1747998295509610693,-1,-1_amp_deutschland_afd_handeln
1748500929769316633,-1,-1_amp_deutschland_afd_handeln
1749047466136047639,-1,-1_amp_deutschland_afd_handeln
1749399559938195834,0,0_post_kommentar_anmerkung_meinung
1750464573872693567,14,14_euro_milliarde_million_kosten
